vVirusNameCorrected,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vICTVnumber,ReverseZoonoses,IsHoSa,IsHoSa.stringent,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vWOKcites,vPubMedCites,vCytoReplicTF,vSegmentedTF,vVectorYNna,vSSoDS,vDNAoRNA,vEnvelope,IsZoonotic,IsZoonotic.stringent
Kokobera_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,1,0,,,10874.0,18,7,True,False,Y,SS,RNA,enveloped,1,0
Koongol_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,00.011.0.01.026.,0,0,0,,,11202.0,4,1,True,True,Y,SS,RNA,enveloped,0,0
Kotonkan_virus,Unassigned,Rhabdoviridae,,Nucleorhabdovirus,0,,0,1,0,,,15867.0,4,4,False,False,Y,SS,RNA,enveloped,1,0
Koutango_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,1,1,,,10534.0,3,5,True,False,Y,SS,RNA,enveloped,1,1
Kyasanur_Forest_disease_virus,Unassigned,Flaviviridae,,Flavivirus,0,00.026.0.01.026.,0,1,1,,,10720.0,104,70,True,False,Y,SS,RNA,enveloped,1,1
Lactate_dehydrogenase-elevating_virus,Nidovirales,Arteriviridae,,Arterivirus,0,,0,0,0,,,14104.0,208,338,True,False,N,SS,RNA,enveloped,0,0
Lagos_bat_virus,Mononegavirales,Rhabdoviridae,,Lyssavirus,0,,0,0,0,,,12016.0,49,35,True,False,N,SS,RNA,enveloped,0,0
Laguna_Negra_virus,Unassigned,Bunyaviridae,,Hantavirus,0,,0,1,0,,,15450.0,15,8,True,True,N,SS,RNA,enveloped,1,0
Lake_Victoria_marburgvirus,Mononegavirales,Filoviridae,,Marburgvirus,1,01.025.0.01.001.,0,1,1,,,19111.0,12,12,True,False,N,SS,RNA,enveloped,1,1
Langur_virus,Unassigned,Retroviridae,Orthoretrovirinae,Betaretrovirus,,,0,0,0,,,9000.0,2,8,False,False,N,SS,RNA,enveloped,0,0
Lapine_parvovirus,Unassigned,Parvoviridae,Parvovirinae,Parvovirus,0,,0,0,0,,,,1,0,False,False,N,SS,DNA,non-enveloped,0,0
Lassa_virus,Unassigned,Arenaviridae,,Arenavirus,0,00.003.0.01.003.,0,1,1,,,10681.0,334,494,True,True,N,SS,RNA,enveloped,1,1
Latino_virus,Unassigned,Arenaviridae,,Arenavirus,0,00.003.0.01.011.,0,0,0,,,10648.0,2,2,True,True,N,SS,RNA,enveloped,0,0
Lebombo_virus,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,00.060.0.02.013.,0,1,1,,,19247.0,1,1,True,True,Y,DS,RNA,non-enveloped,1,1
Ljungan_virus,Picornavirales,Picornaviridae,,Parechovirus,0,,0,1,1,7590.0,7637.0,7613.5,60,41,True,False,N,SS,RNA,non-enveloped,1,1
Louping_ill_virus,Unassigned,Flaviviridae,,Flavivirus,0,,0,1,1,,,10871.0,154,117,True,False,Y,SS,RNA,enveloped,1,1
Lumpy_skin_disease_virus,Unassigned,Poxviridae,Chordopoxvirinae,Capripoxvirus,0,,0,0,0,,,150773.0,80,68,True,False,Y,DS,DNA,enveloped,0,0
Lymphocytic_choriomeningitis_virus,Unassigned,Arenaviridae,,Arenavirus,1,00.003.0.01.001.,0,1,1,,,10056.0,2613,2619,True,True,N,SS,RNA,enveloped,1,1
Macaque_simian_foamy_virus,Unassigned,Retroviridae,Spumaretrovirinae,Spumavirus,0,00.061.2.07.006.00.001.,0,0,0,,,12972.0,1,1,False,False,N,SS,RNA,enveloped,0,0
Machupo_virus,Unassigned,Arenaviridae,,Arenavirus,0,00.003.0.01.012.,0,1,0,,,10635.0,58,70,True,True,N,SS,RNA,enveloped,1,0
Macropodid_herpesvirus_1,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,,0,0,0,,,140122.0,7,7,False,False,N,DS,DNA,enveloped,0,0
Macropodid_herpesvirus_2,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,,0,0,0,,,135000.0,3,4,False,False,N,DS,DNA,enveloped,0,0
Madrid_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,0,0,926.0,,12604.0,1,1,True,True,Y,SS,RNA,enveloped,0,0
Main_Drain_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,0,0,,,5996.0,4,5,True,True,Y,SS,RNA,enveloped,0,0
Mammalian_orthoreovirus,Unassigned,Reoviridae,,Orthoreovirus,1,,0,0,0,,,23540.0,496,589,True,True,N,DS,RNA,non-enveloped,0,0
Manzanilla_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,0,0,11790.0,12414.0,12270.67,2,2,True,True,Y,SS,RNA,enveloped,0,0
Mapuera_virus,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus,0,,0,0,0,,,15486.0,5,6,True,False,N,SS,RNA,enveloped,0,0
Maraba_virus,Mononegavirales,Rhabdoviridae,,Vesiculovirus,0,,0,0,0,,,11135.0,4,3,True,False,Y,SS,RNA,enveloped,0,0
Marituba_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,,0,1,1,11706.0,12599.0,12029.5,14,8,True,True,Y,SS,RNA,enveloped,1,1
Marmodid_herpesvirus_1,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,Tentative in genus,,0,0,0,,,180000.0,1,1,False,False,N,DS,DNA,enveloped,0,0
Mason-Pfizer_monkey_virus,Unassigned,Retroviridae,Orthoretrovirinae,Betaretrovirus,0,00.061.1.01.003.,0,0,0,,,8557.0,250,347,False,False,N,SS,RNA,enveloped,0,0
Mastomys_natalensis_papillomavirus,Unassigned,Papillomaviridae,,Iotapapillomavirus,1,,0,0,0,,,7687.0,15,7,False,False,N,DS,DNA,non-enveloped,0,0
Mayaro_virus,Unassigned,Togaviridae,,Alphavirus,0,00.073.0.01.014.,0,1,1,,,11411.0,71,62,True,False,Y,SS,RNA,enveloped,1,0
Measles_virus,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Morbillivirus,1,01.048.1.02.001.,1,1,1,,,15894.0,5019,6767,True,False,N,SS,RNA,enveloped,1,1
Menangle_virus,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus,Tentative in genus,01.048.0.00.004.,0,1,0,,,15516.0,33,26,True,False,N,SS,RNA,enveloped,1,0
Middelburg_virus,Unassigned,Togaviridae,,Alphavirus,0,00.073.0.01.015.,0,0,0,,,11700.0,8,12,True,False,Y,SS,RNA,enveloped,0,0
Minatitlan_virus,Unassigned,Bunyaviridae,,Orthobunyavirus,0,00.011.0.01.033.,0,0,0,12300.0,12450.0,12375.0,1,1,True,True,Y,SS,RNA,enveloped,0,0
Mink_astrovirus,Unassigned,Astroviridae,,Mamastrovirus,0,,0,0,0,,,6610.0,5,5,True,False,N,SS,RNA,non-enveloped,0,0
Mink_calicivirus,Unassigned,Caliciviridae,,Vesivirus,Tentative in genus,,0,0,0,,,8427.0,3,3,True,False,N,SS,RNA,non-enveloped,0,0
