name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Alphabaculovirus busuppressariae,1,,,,,,,
Alphabaculovirus capomonae,1,,,,,,,
Alphabaculovirus chofumiferanae,1,,,,,,,
Alphabaculovirus chomurinanae,1,,,,,,,
Alphabaculovirus chorosaceanae,1,,,,,,,
Alphabaculovirus chrincludentis,1,,,,,,,
Alphabaculovirus chrychalcites,1,,,,,,,
Alphabaculovirus clabilineatae,1,,,,,,,
Alphabaculovirus ecobliquae,1,,,,,,,
Alphabaculovirus eppostvittanae,1,,,,,,,
Alphabaculovirus eupseudoconspersae,1,,,,,,,
Alphabaculovirus helarmigerae,1,,,,,,,
Alphabaculovirus hycuneae,1,,,,,,,
Alphabaculovirus lafiscellariae,1,,,,,,,
Alphabaculovirus leseparatae,1,,,,,,,
Alphabaculovirus lydisparis,1,,,,,,,
Alphabaculovirus lyxylinae,1,,,,,,,
Alphabaculovirus mabrassicae,1,,,,,,,
Alphabaculovirus maconfiguratae,1,,,,,,,
Alphabaculovirus mavitratae,1,,,,,,,
Alphabaculovirus orleucostigmae,1,,,,,,,
Alphabaculovirus orpseudotsugatae,1,,,,,,,
Alphabaculovirus spexiguae,1,,,,,,,
Alphabaculovirus splittoralis,1,,,,,,,
Alphabaculovirus spliturae,1,,,,,,,
Alphabaculovirus spofrugiperdae,1,,,,,,,
Alphabaculovirus sujujubae,1,,,,,,,
Alphabaculovirus thorichlaceae,1,,,,,,,
Alphabaculovirus trini,1,,,,,,,
Alphabaculovirus wisignatae,1,,,,,,,
Alphacoronavirus porci,1,,,,,,,
Alphacoronavirus suis,1,,,,,,,
Alphainfluenzavirus influenzae (H1N1)pdm09,2,,,,,,,
Alphainfluenzavirus influenzae (H1N2)v,2,,,,,,,
Alphainfluenzavirus influenzae A/American wigeon/South Carolina/22-000345-001/2021 (H5N1) IDCDC-RG78A,2,,,,,,,
Alphainfluenzavirus influenzae A/Anhui/01/2005(H5N1)-PR8 IDCDC RG6,2,,,,,,,
