genome_type_enc,taxonomic_family_enc,is_dna,is_enveloped,is_segmented,is_vector_borne,is_zoonotic,infects_humans,host_breadth,rg_label
5,41,0,1,0,0,1,0,3.0,2
5,41,0,1,0,0,1,0,3.0,2
0,6,1,1,0,0,0,0,3.0,0
6,47,0,1,0,0,1,0,6.0,2
0,24,1,1,0,0,1,0,1.0,0
6,47,0,1,0,0,0,0,11.0,1
4,7,0,0,0,0,1,0,3.0,1
4,7,0,0,0,0,1,0,3.0,1
4,7,0,0,0,0,1,0,3.0,1
0,0,1,0,0,0,0,0,1.0,0
6,47,0,1,0,0,0,0,1.0,1
1,9,0,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
0,39,1,1,0,0,1,0,3.0,0
6,47,0,1,0,0,1,1,1.0,0
6,47,0,1,1,0,0,0,6.0,1
2,35,0,1,0,0,1,0,3.0,2
2,35,0,1,0,0,1,0,3.0,2
2,35,0,1,0,0,1,0,3.0,1
2,35,0,1,0,0,1,0,3.0,2
6,47,0,1,1,0,0,0,1.0,1
0,0,1,0,0,0,1,0,3.0,0
0,0,1,0,0,0,0,0,1.0,1
