Organism,Risk Group,Agent Type,Alternate Names
Actinobacillus lignieresii,RG1,Bacteria,"Actinobacillus genomospecies 1,Bacterium purifaciens"
Actinobacillus hominis,RG1,Bacteria,
Actinobacillus indolicus,RG1,Bacteria,
Actinobacillus minor,RG1,Bacteria,Haemophilus sp. Minor group
Muribacter muris,RG1,Bacteria,Actinobacillus muris
Actinobacillus pleuropneumoniae,RG1,Bacteria,Haemophilus pleuropneumoniae (Shope 1964)
Actinobacillus pleuropneumoniae heat-labile cytotoxin III,Unregulated Toxins,Toxin,
Actinobacillus porcinus,RG1,Bacteria,
Actinobacillus rossii,RG1,Bacteria,
Actinobacillus scotiae,RG1,Bacteria,
Actinobacillus seminis,RG1,Bacteria,
Actinobacillus succinogenes,RG1,Bacteria,
Actinobacillus suis,RG2,Bacteria,
Actinobacillus ureae,RG2,Bacteria,"Pasteurella haemolytica var. ureae,Pasteurella ureae"
Bifidobacterium bifidum,RG1,Bacteria,"Bacteroides bifidus,Lactobacillus bifidus type II,Nocardia bifida,Tissieria bifi,Bacterium bifidum,Bacillus bifidus communis,Actinobacterium bifidum,Cohnistreptothrix bifidus,Actinomyces bifidus,Lactobacillus parabifidus,Actinomyces parabifidus"
Actinomyces israelii,RG2,Bacteria,"Streptothrix israeli,Actinobacterium israeli"
Schaalia meyeri,RG2,Bacteria,"Actinobacterium meyeri,Actinomyces meyeri"
Actinotignum schaalii,RG2,Bacteria,"Actinomyces schaalii,Actinobaculum schaalii"
Actinobaculum suis,RG2,Bacteria,"Actinomyces suis,Eubacterium suis,Corynebacterium suis"
Actinotignum urinale,RG1,Bacteria,Actinobaculum urinale
Thermohydrogenium kirishiense,RG1,Bacteria,Actinobifida dichotomica
Pseudonocardia alaniniphila,RG1,Bacteria,Actinobispora alaniniphila
Pseudonocardia aurantiaca,RG1,Bacteria,Actinobispora aurantiaca
Pseudonocardia xinjiangensis,RG1,Bacteria,Actinobispora xinjiangensis
Pseudonocardia yunnanensis,RG1,Bacteria,Actinobispora yunnanensis
Actinocorallia aurantiaca,RG1,Bacteria,Actinomadura aurantiaca
Actinocorallia glomerata,RG1,Bacteria,Actinomadura glomerata
Actinocorallia herbida,RG1,Bacteria,
Actinocorallia libanotica,RG1,Bacteria,Actinomadura libanotica
Actinocorallia longicatena,RG1,Bacteria,Actinomadura longicatena
Actinokineospora diospyrosa,RG1,Bacteria,
Actinokineospora enzanensis,RG1,Bacteria,
Actinokineospora fastidiosa,RG1,Bacteria,"Amycolatopsis fastidiosa,Pseudonocardia fastidiosa"
Actinokineospora inagensis,RG1,Bacteria,
Actinokineospora riparia,RG1,Bacteria,
Actinokineospora terrae,RG1,Bacteria,
Nonomuraea africana,RG1,Bacteria,"Microtetraspora africana,Nocardiopsis africana,Actinomadura africana"
Actinomadura atramentaria,RG1,Bacteria,
Nonomuraea roseoviolacea subsp. carminata,RG1,Bacteria,Actinomadura carminata
Actinomadura citrea,RG1,Bacteria,
Actinomadura coerulea,RG1,Bacteria,
Saccharothrix coeruleofusca,RG1,Bacteria,"Actinomadura coeruleifusca,Nocardiopsis coeruleofusca"
Goodfellowiella coeruleoviolacea,RG1,Bacteria,"Saccharothrix coeruleoviolacea,Actinomadura coeruleoviolacea,Goodfellowia coeruleoviolacea"
Actinomadura cremea,RG1,Bacteria,Actinomadura cremea subsp. cremea
Actinomadura rifamycini,RG1,Bacteria,Actinomadura cremea subsp. rifamycini
Thermomonospora echinospora,RG1,Bacteria,"Microbispora echinospora,Actinomadura echinospora"
Nonomuraea fastidiosa,RG1,Bacteria,"Actinomadura fastidiosa,Microtetraspora fastidiosa"
Nonomuraea ferruginea,RG1,Bacteria,"Actinomadura ferruginea,Microtetraspora ferruginea"
Actinomadura fibrosa,RG1,Bacteria,
Lentzea flava,RG1,Bacteria,"Saccharothrix flava,Actinomadura flava,Lechevalieria flava,Nocardiopsis flava"
Actinomadura formosensis,RG1,Bacteria,Thermomonospora formosensis
Actinomadura fulvescens,RG1,Bacteria,
Nonomuraea helvata,RG1,Bacteria,"Actinomadura helvata,Microtetraspora helvata"
Actinomadura hibisca,RG1,Bacteria,
Actinomadura kijaniata,RG1,Bacteria,
Actinomadura latina,RG1,Bacteria,
Actinomadura livida,RG1,Bacteria,
Saccharothrix longispora,RG1,Bacteria,"Actinomadura longispora,Nocardiopsis longispora"
Actinomadura luteofluorescens,RG1,Bacteria,Streptomyces luteofluorescens
Actinomadura macra,RG1,Bacteria,
Actinomadura madurae,RG2,Bacteria,Streptothrix madurae
Actinomadura viridis,RG1,Bacteria,"Actinomadura malachitica,Microtetraspora viridis"
Actinomadura nitritigenes,RG1,Bacteria,
Actinomadura oligospora,RG1,Bacteria,
Actinomadura pelletieri,RG2,Bacteria,"Nocardia pelletieri,Micrococcus pelletieri"
Nonomuraea polychroma,RG1,Bacteria,"Actinomadura polychroma,Microtetraspora polychroma"
Nonomuraea pusilla,RG1,Bacteria,"Actinomadura pusilla,Microtetraspora pusila"
Nonomuraea recticatena,RG1,Bacteria,"Actinomadura recticatena,Microtetraspora recticatena"
Nonomuraea roseola,RG1,Bacteria,"Actinomadura roseola,Microtetraspora roseola"
Nonomuraea roseoviolacea,RG1,Bacteria,"Actinomadura roseoviolacea,Microtetraspora roseoviolacea"
Nonomuraea rubra,RG1,Bacteria,"Actinomadura rubra,Microtetraspora rubra"
Actinomadura viridilutea,RG1,Bacteria,"Micropolyspora rubrobrunea,Excellospora viridilutea,Actinomadura rubrobrunea,Excellospora rubrobrunea"
Actinomadura rugatobispora,RG1,Bacteria,Microbispora viridis
Nonomuraea salmonea,RG1,Bacteria,"Microtetraspora salmonea,Actinomadura salmonea"
Nonomuraea spiralis,RG1,Bacteria,"Microtetraspora spiralis,Actinomadura spiralis"
Nonomuraea turkmeniaca,RG1,Bacteria,"Actinomadura turkmeniaca,Microtetraspora turkmeniaca"
Thermomonospora umbrina,RG1,Bacteria,Actinomadura umbrina
Actinomadura verrucosospora,RG1,Bacteria,
Actinomadura vinacea,RG1,Bacteria,
Actinomadura yumaensis,RG1,Bacteria,
Actinomortierella wolfii,RG1,Fungus,Mortierella wolfii
Streptomyces albidoflavus,RG1,Bacteria,"Streptomyces sampsonii,Actinomyces albidoflavus,Streptomyces limosus,Streptothrix albidoflava,Streptomyces globisporus subsp. caucasicus,Streptomyces odorifer,Streptomyces felleus,Streptomyces canescens,Streptomyces champavatii,Streptomyces coelicolor,Cladothrix albido-flava"
Streptomyces alboflavus,RG1,Bacteria,Actinomyces alboflavus
Frankia alni,RG1,Bacteria,"Nocardia alni,Aktinomyces alni,Frankia subtilis,Frankiella alni,Actinomyces alni,Proactinomyces alni,Schinzia alni,Streptomyces alni,Plasmodiophora alni"
Streptomyces anulatus,RG1,Bacteria,"Streptomyces chrysomallus,Streptomyces chrysomallus subsp. Chrysomallus,Streptomyces praecox,Streptomyces citreofluorescens,Actinomyces citreofluorescens,Streptomyces fluorescens,Actinomyces annulatus,Actinomyces fluorescens"
Streptomyces antibioticus,RG1,Bacteria,Actinomyces antibioticus
Nocardia asteroides,RG2,Bacteria,"Actinomyces eppingeri,Asteroides asteroides,Streptothrix eppingerii,Streptotrix asteroides,Discomyces asteroides,Oospora asteroides,Proactinomyces asteroides,Actinomyces asteroides"
Streptomyces atroolivaceus,RG1,Bacteria,"Streptomyces olivoviridis,Actinomyces atroolivaceus"
Streptomyces aurantiacus,RG1,Bacteria,"Nocardia aurantiaca,Streptotrix aurantiaca,Actinomyces aurantiacus,Streptomyces glomeroaurantiacus,Streptomyces albisporeus subsp. Albisporeus,Cladothrix aurantiaca"
Streptomyces aurantiogriseus,RG1,Bacteria,Actinomyces aurantiogriseus
Streptomyces aureocirculatus,RG1,Bacteria,Actinomyces aureocirculatus
Streptomyces aureoverticillatus,RG1,Bacteria,Actinomyces aureoverticillatus
Streptomyces bacillaris,RG1,Bacteria,"Streptomyces griseobrunneus,Actinomyces bacillaris"
Streptomyces badius,RG1,Bacteria,Actinomyces badius
